dataset_id,pid
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1968-r12i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/515c2e6b-794c-3d39-a641-0df6cb00cf3b
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1968-r12i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/4beb506a-2a46-3369-ba40-73c512668f7f
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1968-r12i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/7443e4be-db05-3b67-958b-311088862067
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2009-r7i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/deba38c1-5b5e-35b0-bc33-16352c11ce00
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2009-r7i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/86ecb765-b171-3ef9-b430-e3d5cc7eb910
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2009-r7i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/31a89338-a93f-3c5d-a1c6-9d0cbf28bee5
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2009-r7i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/611e2d2b-063b-31e5-98d5-56a9a28d7280
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2009-r7i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/deb72a17-7875-3e30-933e-5f1e4d9c24fd
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1978-r5i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/c247b21e-79fe-37f5-9d38-5e9cfc2587e3
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1978-r5i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/487e2ef5-2958-3f7d-8078-4b6e531f9526
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1978-r5i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/2483c6c2-7654-3255-b540-335ace9b9e2c
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1978-r5i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/8bbe39d5-e4bd-306a-9971-2e370e2d20cd
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1978-r5i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/757ce304-a8de-3656-8ccc-a16a61b18480
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1968-r3i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/339a26d0-8a33-3d3a-bc9b-552768addbe1
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1968-r3i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/f0ca0db5-a8f9-309b-9aaf-b1297b3d4bba
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1968-r3i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/a43a2710-00bc-3bd5-8a2d-2a7477fb6953
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1968-r3i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/52e206c8-58aa-351b-96b3-145fb85f0344
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1968-r3i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/c840cbad-1fd8-338f-88c3-c673f92f2abf
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1960-r6i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/7c066427-b0ad-3b08-8032-ce23f2fc8970
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1960-r6i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/f8c70306-38be-3a74-bda8-970925f840ef
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1960-r6i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/214f5670-d85b-35e8-bccd-363d35640b9c
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1960-r6i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/693bef90-1e4c-3036-a926-782fbbc722e1
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1960-r6i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/7979c3c7-23af-323d-9a0d-5298a2b69edf
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1963-r16i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/4d841b1c-670c-3755-8fb6-bcc1b5b33442
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1963-r16i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/4b10a2f2-eb62-3d7f-b076-db139e9ade73
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1963-r16i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/02bc1ce1-957f-30b5-9f81-39c2e2c0310c
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1963-r16i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/bc787391-f893-33de-a6d9-0c8c7d0eaf8b
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1963-r16i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/9a918915-f40f-38ac-bded-8cdfec5fa147
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1988-r14i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/24f0c923-e7ab-337d-a404-97b45a8d2169
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1988-r14i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/ffefe5e5-7efc-3337-b346-870a43b07081
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1988-r14i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/b93a5bbe-2713-3b07-a63b-809a973dc4c0
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1988-r14i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/7c51cac2-4392-3f1a-ad7c-f06ac1e779dc
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1988-r14i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/c1d01e57-b12b-3bd5-952c-d91710b0abc4
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1974-r3i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/13a60535-d740-37f1-85c2-65343a166f7e
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1974-r3i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/fed62dfa-3be4-3316-b2ef-8793b995519f
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1974-r3i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/8c84ca59-43db-3edc-913d-b9248cf6770e
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1974-r3i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/854079bb-5148-3be9-903f-f319a0805cdb
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s1974-r3i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/2df59741-cc46-3f8f-8faa-8e0e54cfc50a
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2007-r7i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/a66abb9b-5edb-3cef-845b-1110912423ab
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2007-r7i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/136d3016-3653-313a-bd28-45970250c620
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2007-r7i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/6769cc00-e9f0-3b1a-8cae-9bc06340bbd0
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2007-r7i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/ae95a1ae-fef5-38cc-bf27-86ca8856e8b2
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2007-r7i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/0dfe92c4-9b0b-3a5d-a0ad-9234e16a1539
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2002-r16i1p1f1.day.tasmin.gn.v20220126,hdl:21.14100/d1a1dfaf-de9b-31f9-a850-8592ce306de3
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2002-r16i1p1f1.day.tasmax.gn.v20220126,hdl:21.14100/d693d4b6-94ba-3b4a-a087-f587eace03b9
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2002-r16i1p1f1.Amon.tas.gn.v20220126,hdl:21.14100/ae73ed00-6230-3cec-bab9-354a8dd8a33b
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2002-r16i1p1f1.Amon.psl.gn.v20220126,hdl:21.14100/93eea1e2-744f-3d82-a5a3-fcd43d0c6d87
CMIP6.DCPP.DWD.MPI-ESM1-2-LR.dcppA-hindcast.s2002-r16i1p1f1.Amon.pr.gn.v20220126,hdl:21.14100/183f7256-476f-3a64-9260-7f29fb7c1eba
